5,PA,Potter County,7507,2300,5109,31.04
6,PA,Wayne County,22835,9892,12702,43.78
7,PA,Susquehanna County,19286,8381,10633,44.08
8,PA,Warren County,18517,8537,9685,46.85
9,OH,Ashtabula County,44874,25027,18949,56.94
10,OH,Lake County,121335,60155,59142,50.46
11,PA,Crawford County,38134,16780,20750,44.71
12,OH,Lucas County,219830,142852,73706,65.99
13,OH,Fulton County,21973,9900,11689,45.88
14,OH,Geauga County,51102,21250,29096,42.23
15,OH,Williams County,18397,8174,9880,45.26
16,PA,Wyoming County,13138,5985,6983,46.15
17,PA,Lackawanna County,107876,67520,39488,63.1
18,PA,Elk County,14271,7290,6676,52.2
19,PA,Forest County,2444,1038,1366,43.18
20,PA,Venango County,23307,9238,13718,40.24
21,OH,Erie County,41229,23148,17432,57.01
22,OH,Wood County,65022,34285,29648,53.61
23,PA,Cameron County,2245,879,1323,39.92
24,PA,Pike County,24284,11493,12518,47.87
25,PA,Lycoming County,49237,18381,30280,37.77
26,PA,Sullivan County,3120,1233,1841,40.11
27,OH,Lorain County,146859,85276,59068,59.1
28,OH,Trumbull County,106911,64145,40164,61.48
29,PA,Mercer County,53821,26411,26565,49.85
30,OH,Henry County,14840,6320,8239,43.43
31,PA,Clinton County,14791,7097,7504,48.61
32,PA,Clarion County,17766,6756,10737,38.62
33,PA,Luzerne County,135175,72492,61127,54.25
34,OH,Defiance County,19195,8399,10407,44.69
35,PA,Jefferson County,18802,6447,12057,34.84
36,OH,Portage County,78206,41856,34822,54.59
37,PA,Columbia County,28063,13230,14477,47.75
38,OH,Huron County,25582,12076,12884,48.36
39,OH,Medina County,90451,40924,48189,45.89
40,OH,Seneca County,27449,13087,13823,48.62
41,PA,Clearfield County,33813,14555,18662,43.82
42,PA,Centre County,75763,41950,32992,55.97
43,PA,Monroe County,68443,39453,28293,58.23
44,OH,Paulding County,9769,4165,5317,43.92
45,PA,Northumberland County,33939,14329,19018,42.97
46,PA,Montour County,8023,3364,4574,42.38
47,PA,Butler County,90425,32260,57074,36.11
48,PA,Armstrong County,30081,11138,18542,37.53
49,OH,Hancock County,36981,13870,22420,38.23
50,OH,Putnam County,18680,5281,13072,28.79
51,PA,Union County,17400,7333,9859,42.65
52,OH,Mahoning County,127032,79173,45319,63.57
53,PA,Carbon County,26923,13464,12957,50.96
54,PA,Lawrence County,42103,19711,21851,47.43
55,OH,Ashland County,25168,9300,15158,38.07
56,OH,Crawford County,21173,8288,12316,40.18
57,OH,Richland County,61122,25727,34034,43.05
58,OH,Wyandot County,10977,4461,6270,41.56
59,OH,Wayne County,52142,21712,29342,42.49
60,OH,Van Wert County,14652,5178,9168,36.06
61,OH,Stark County,187545,96990,86743,52.76
62,PA,Northampton County,135587,75255,58551,56.24
63,PA,Schuylkill County,63057,28300,33767,45.6
64,OH,Columbiana County,48487,21882,25585,46.07
65,OH,Allen County,50263,19522,29940,39.43
66,PA,Indiana County,37302,17065,19727,46.39
67,PA,Snyder County,15479,5382,9900,35.22
68,PA,Beaver County,84488,40499,42895,48.56
69,PA,Mifflin County,16502,5375,10929,32.97
70,OH,Hardin County,13114,5013,7749,39.26
71,PA,Lehigh County,152473,87089,63382,57.88
72,PA,Huntingdon County,18632,6621,11745,36.05
73,PA,Blair County,53102,19813,32708,37.72
74,OH,Carroll County,13953,6423,7097,47.47
75,OH,Mercer County,21271,5853,15100,27.92
76,PA,Cambria County,65670,32451,31995,50.36
77,OH,Morrow County,16643,6177,10067,38.01
78,OH,Marion County,29017,12870,15454,45.45
79,PA,Juniata County,9711,3068,6484,32.12
80,OH,Auglaize County,23486,6727,16395,29.07
